,10,20,40
8,0.02090863004063128,0.0011350302369733689,0.001577621780464273
6,0.0014395819322387765,0.00832582271528748,0.008830947129513898
4,0.026604366324624772,0.06643414862585224,0.08708420831183908
2,0.15921667784243568,0.12678188746540822,0.1294023271477948
