,20,40,60,80,100
100,0.038813571297662504,0.12004172105476052,0.04693309062551085,0.03696411430329545,0.0406716578348332
500,0.033388445668818115,0.054257083313024916,0.010490595918189951,0.0956399937136426,0.02289662277709857
1000,0.04062118626118976,0.12693006759485348,0.015315739332987147,0.044178079749164566,0.04686458060030503
2000,0.08166662410281807,0.0741504821775057,0.017260316509789583,0.008853939035046752,0.016580660829673834
5000,0.02454642052839248,0.003070581793903451,0.001648182793830898,0.0013213771927094503,0.001409800418407839
